"","TF","TG"
"1","Aca1p","IRC3"
"2","Ace2p","AMN1"
"3","Ace2p","DSE1"
"4","Ace2p","SCW11"
"5","Ace2p","BUD9"
"6","Ace2p","DSE2"
"7","Ace2p","PRY3"
"8","Ace2p","PIR1"
"9","Ace2p","ASH1"
"10","Ace2p","SIC1"
"11","Ace2p","CTS1"
"12","Ace2p","NIS1"
"13","Ace2p","EGT2"
"14","Ace2p","DSE4"
"15","Ace2p","DSE3"
"16","Ace2p","AIM44"
"17","Ace2p","ICS2"
"18","Ace2p","PST1"
"19","Ace2p","ICP55"
"20","Ace2p","YER152C"
"21","Ace2p","OXA1"
"22","Ace2p","GAT1"
"23","Ace2p","FRS2"
"24","Ace2p","KSS1"
"25","Ace2p","YHB1"
"26","Ace2p","CHS7"
"27","Ace2p","HSP150"
"28","Ace2p","TAH11"
"29","Ace2p","RPS4A"
"30","Ace2p","YJR146W"
"31","Ace2p","HMS2"
"32","Ace2p","BAT2"
"33","Ace2p","UTH1"
"34","Ace2p","RPS30A"
"35","Ace2p","MRPL4"
"36","Ace2p","WTM1"
"37","Adr1p","ACS1"
"38","Adr1p","ACH1"
"39","Adr1p","TIP1"
"40","Adr1p","ADY2"
"41","Adr1p","DLD1"
"42","Adr1p","SED1"
"43","Adr1p","GIS1"
"44","Adr1p","CTA1"
"45","Adr1p","HXT6"
"46","Adr1p","ATO3"
"47","Adr1p","STL1"
"48","Adr1p","UTR5"
"49","Adr1p","PRB1"
"50","Adr1p","FAA2"
"51","Adr1p","GIP2"
"52","Adr1p","SPI1"
"53","Adr1p","HSP12"
"54","Adr1p","MDJ1"
"55","Adr1p","POX1"
"56","Adr1p","YGR067C"
"57","Adr1p","SPG1"
"58","Adr1p","GUT1"
"59","Adr1p","RGI2"
"60","Adr1p","GUT2"
"61","Adr1p","POT1"
"62","Adr1p","RPR2"
"63","Adr1p","UBX6"
"64","Adr1p","TES1"
"65","Adr1p","BAT2"
"66","Adr1p","FAT3"
"67","Adr1p","PXA2"
"68","Adr1p","JEN1"
"69","Adr1p","FOX2"
"70","Adr1p","YKR075C"
"71","Adr1p","PDR8"
"72","Adr1p","ECI1"
"73","Adr1p","ATG39"
"74","Adr1p","NMA1"
"75","Adr1p","FBP1"
"76","Adr1p","CAR2"
"77","Adr1p","CAT2"
"78","Adr1p","CYB2"
"79","Adr1p","MSC1"
"80","Adr1p","HXT2"
"81","Adr1p","SPG4"
"82","Adr1p","ICY1"
"83","Adr1p","ADH2"
"84","Adr1p","UBP15"
"85","Adr1p","NCE103"
"86","Adr1p","MLS1"
"87","Adr1p","YNL194C"
"88","Adr1p","ADH1"
"89","Adr1p","MDH2"
"90","Adr1p","PEX11"
"91","Adr1p","LPX1"
"92","Adr1p","GAC1"
"93","Adr1p","FSF1"
"94","Adr1p","TPO4"
"95","Adr1p","FAA1"
"96","Adr1p","PUT4"
"97","Adr1p","ALD4"
"98","Adr1p","LSP1"
"99","Adr1p","SWI1"
"100","Adr1p","ALD6"
"101","Adr1p","ISU1"
"102","Adr1p","CSM4"
"103","Adr1p","YIG1"
"104","Adr1p","USV1"
"105","Adr1p","DIP5"
"106","Adr1p","CIT3"
"107","Adr1p","ICL2"
"108","Adr1p","NCE102"
"109","Adr1p","SUE1"
"110","Adr1p","PIP2"
"111","Adr1p","ECM1"
"112","Adr1p","SDS24"
"113","Adr1p","YGR035C"
"114","Adr1p","PPT1"
"115","Adr1p","SDA1"
"116","Adr1p","OM45"
"117","Adr1p","CSS1"
"118","Adr1p","YLR252W"
"119","Adr1p","TRM11"
"120","Adr1p","HPF1"
"121","Adr1p","PXA1"
"122","Adr1p","RPA135"
"123","Adr1p","SPS19"
"124","Aft1p","FTR1"
"125","Aft1p","FET3"
"126","Aft1p","FTH1"
"127","Aft1p","PCS60"
"128","Aft1p","PRP5"
"129","Aft1p","AAD3"
"130","Aft1p","MRP10"
"131","Aft1p","PPH22"
"132","Aft1p","NOP6"
"133","Aft1p","CCC2"
"134","Aft1p","RMT2"
"135","Aft1p","UBC8"
"136","Aft1p","PRB1"
"137","Aft1p","SIT1"
"138","Aft1p","YER156C"
"139","Aft1p","AFT1"
"140","Aft1p","YGL088W"
"141","Aft1p","PRP43"
"142","Aft1p","PAC10"
"143","Aft1p","HGH1"
"144","Aft1p","MIC26"
"145","Aft1p","MPC3"
"146","Aft1p","ARN1"
"147","Aft1p","ARN2"
"148","Aft1p","YHR138C"
"149","Aft1p","NMD3"
"150","Aft1p","MET5"
"151","Aft1p","RRP14"
"152","Aft1p","APE1"
"153","Aft1p","MRS4"
"154","Aft1p","FRE6"
"155","Aft1p","YCT1"
"156","Aft1p","RPL22A"
"157","Aft1p","TIS11"
"158","Aft1p","FRE1"
"159","Aft1p","CSR1"
"160","Aft1p","COX14"
"161","Aft1p","GCV2"
"162","Aft1p","CAT8"
"163","Aft1p","FET4"
"164","Aft1p","YMR320W"
"165","Aft1p","CYB5"
"166","Aft1p","PSD1"
"167","Aft1p","PRM1"
"168","Aft1p","YNR014W"
"169","Aft1p","FRE4"
"170","Aft1p","RPB11"
"171","Aft1p","ENB1"
"172","Aft1p","SFM1"
